"Title","Artists","WorkbookType","Genre","Mood","Confidence","InferenceBasis","Source","ExistsInSystem","Reasons"
"Groundwork","Big Narstie, Ed Sheeran, Papoose","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Rangin","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Anaavashyak","Samir Shrestha, Beyond the Clouds","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nepali Angreji","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"All Eyes On Me","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Umer 18/19","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhumari","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Simples das Antigas","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Jaba Timi Sanga","The Edge Band","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Jaandai Chu Taadha","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sabailai","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Lonely Lovers","D-Block Europe, Ed Sheeran","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Malai Jitnu Xa (PUBG MOBILE Nepal)","John Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hidchhu","Ciney Gurung, Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Harauna Deu","Swoopna Suman, Sushant KC, Foeseal","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhaagera","Sushant KC, LIL Rock Look","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Gharako Kancho Choro","Samir Shrestha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"B.L.Y.H.L","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Favela Baby","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bhana","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"You Remind Me / Hot Shot","DJ Khaled, Vybz Kartel, Buju Banton, Mavado","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"IT AIN'T SAFE (feat. Nardo Wick & Kodak Black)","DJ Khaled, Nardo Wick, Kodak Black","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Arthahin Duniya","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ekkasi","Yabesh Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bakwas","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"OUTSIDE","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"RX 100","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Helpless","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"WEEEEEE","YABI The G.O.A.T","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Abhiman (Lockdown)","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Banduk","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Anaadi","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kheladi","Sushant KC, Utsav","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pahaar (Live Version)","Sajjan Raj Vaidya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Stand United","French Montana, Kanye West, SAINt JHN","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mi Victoria","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Rollie","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Passinho de BH","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"In Love Dying","Red Hot Chili Peppers","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"God Is Love","","Single","Hip-Hop / Rap","bold, intense, introspective","High","Family mapping: kanye","album-names.txt","False","missing_album_record"
"Ek Dui Teen","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Chautari","Sajjan Raj Vaidya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Ka Kha Ga","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dmt","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kasari Furkaaune","Oasis Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Behos","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Aasha","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"THULDAI","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pa' Mi Mamá","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kwap","Chirag Khadka","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pagal Nabhana Malai","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Khushi","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Budhasubba GoldCup","Rajesh Payal Rai, Sabin Rai, Shiva Lamichane Cwaz","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dhanyabad","Sushant KC, Foeseal","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"GP4","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nachaheko Hoina Old","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mero Ansu","The Edge Band","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Yo Saath","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Eklai Bhayeni (Mero Adhuro Prem)","Sujan Chapagain, ArtMandu","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Sexy Geet","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"JUST BE (feat. Justin Timberlake)","DJ Khaled, Justin Timberlake","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Eu Vou de Bixo","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Carnaval ta Chegando","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Laijaw Malai (Unmastered)","Tribal Rain","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kalpana","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Timi Bhayera","Akash Khadka, Samir Shrestha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"No Apologies","Consequence, Kanye West","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"DIOR","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"De Donde Pinga","Were, Chocolate Mc, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Right On Left","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Raat Cha Lamo","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dhokha","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"I Won't Let You Go","YUNG TAMU, Milano, Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"VIBE","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"READY","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"BISTARI","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Asha Nirasha (Original)","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dukha Diyerata Sabai","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Rup Kathaa","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Maja Ko Vul","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Attibidi","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"To The Top","YUNG TAMU, Jamesy, HotFix","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"ZALI ZAMANA","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"TOP SHOTTA","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Simples das Antiga 2","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kosish","The Edge Band","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Sahid","Purna Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Akorinchhu","Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Risaune Bhaye","Sushant KC","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Paaila (Remastered)","AXIX","Album","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Ghumi Phiri: Prelude","Sajjan Raj Vaidya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"WHOLE LOTTA","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Slowly","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Khaseka Tara (Lockdown)","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"THESE STREETS KNOW MY NAME (feat. Skillibeng, Buju Banton, Capleton, Bounty Killer & Sizzla)","DJ Khaled, Skillibeng, Buju Banton","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"The Woolen Sweater (Oon ko Sweater)","Sujan Chapagain, ArtMandu","Album","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Tibra Chahana","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Don't Worry(Remix)","Sushant KC, Utsav","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Rausi layo","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"WAR","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Don’t disturb me","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"DMF ANTHEM / VIBES","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Bekaboo","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Dj Do Baile Te Sarra Piroca","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Timi Ra Ma","Oasis Thapa","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Sataha","Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nothing In My Head Besides Timi","Sajjan Raj Vaidya","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"THARI THARI","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"La Carta","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mtg Toneladas de Amor","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ritmo do Jql","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Khel Chakraai","Oasis Thapa","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Tendencia","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Jau Ki Basu","Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Asha Nirasha","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Me Superé","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Saman Nikal","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mayele (Refix)","La Reine Yose, Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Quem te pego","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ma Sansaar Jitne","Sabin Rai","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Lilac Fashion (Remix) [slowed + reverb]","LIL Rock Look, Jay Author, Sushant KC","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Timi Bhayera","Akash Khadka, Samir Shrestha","Single","Nepali Indie / Pop","emotional, romantic, introspective","Low","Heuristic: Nepali-title keywords","album-names.txt","True","low_confidence"
"Kuri Basechu","Sabal Dev Shrestha, Samir Shrestha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Purva Jaaney Panchi","Sajjan Raj Vaidya","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ibtidaa","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Nepali","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Hellskitchen 2.0","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Good Bye (Good Bay)","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Calmate","Were, Mauro y El Pitu, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Better Me","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Tick Tick","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Way Around","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mara Till Eternity","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ela toma na frente, ela toma atras","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Tipo um Bufallo","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ta Cansado de Ouvir Isso","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Montagem Maligna","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Flautinha do mal","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ai meu caraio torto","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"So Many Tears","","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Look over There","","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Down on My Knees","","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Almost Unreal","","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Lilac Fashion (Remix)","LIL Rock Look, Jay Author, Sushant KC","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Bujhideu","Samir Shrestha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Veja","Jamesy","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Panther Black","Jesus Of Swaggerath","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Suchana Suchana Suchana","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Raat ko Rani","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kaha Janchau","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Move Your Body","Albatross","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mi Palo Al Palo","Were, Dj Khala","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"City Breathing","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"CHANGES","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"K HO?","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Confession","DJ Bishow","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Ashawo Mara (Edit)","Rhythim, Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Streetline","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Mayele Dance","La Reine Yose, Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Para pass para","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Limitless","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kote (Sped Up)","Moren, Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Pray speed up (DJ khalipha Remix)","RICHIIELOLO, Dj khalipha","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"mara lati india","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Rave Sound","Dj khalipha","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Então Chupa","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Kica na ponta da Pi","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Vem Ca Me Da","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"Que se foda porra","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
"To Cansado de Ouvir Isso 2 (Special Version)","Dj Thales Jql","Single","Contemporary / Mixed","varied, release-dependent","Low","Fallback from version/feature keywords","album-names.txt","True","low_confidence"
"Um Minuto de Sacanagem","Dj Thales Jql","Single","Unknown / Needs Review","unknown / needs review","Low","No strong title match","album-names.txt","True","unknown_genre; unknown_mood; low_confidence"
